date,ticker,sentiment
2024-05-13,TSLA,0.11544328870717759
2024-05-12,TSLA,0.037500000000000006
2024-05-11,TSLA,0.09999999999999999
2024-05-10,TSLA,0.069649648541694
2024-05-09,TSLA,-0.03125
2024-05-08,TSLA,0.010694444444444444
2024-05-07,TSLA,0.03277777777777777
2024-05-06,TSLA,0.1334894398530762
2024-04-26,TSLA,0.19857909580131802
2024-04-25,TSLA,0.0994785654160654
2024-04-24,TSLA,-0.008469729154287984
2024-04-23,TSLA,0.22602178458796107
2024-03-06,TSLA,0.15092336662379766
2024-03-05,TSLA,0.14880197389756214
2024-03-04,TSLA,0.02845765345765346
2024-01-15,TSLA,0.13911845730027547
2024-01-14,TSLA,0.13266666666666668
2024-01-13,TSLA,0.14180555555555555
2024-01-12,TSLA,0.09484551447656285
2024-01-11,TSLA,0.04215784215784215
2024-01-10,TSLA,0.05081168831168831
2023-11-25,TSLA,0.09511784511784512
2023-11-24,TSLA,-0.08042929292929292
2023-11-23,TSLA,0.19281726579520697
2023-11-22,TSLA,0.13482358069490422
2023-11-21,TSLA,0.31475243506493505
2023-11-20,TSLA,0.11935703463203465
2023-10-05,TSLA,0.06818091630591631
2023-10-04,TSLA,0.10093246010525424
2023-10-03,TSLA,0.11860375194784238
2023-10-02,TSLA,-0.0008466045738773006
2023-08-15,TSLA,0.21410188576855244
2023-08-14,TSLA,-0.02790720470006184
2023-08-13,TSLA,0.10277777777777776
2023-08-12,TSLA,0.17281746031746034
2023-08-11,TSLA,0.04555654709163481
2023-06-25,TSLA,0.15089285714285716
2023-06-24,TSLA,0.15306291916732256
2023-06-23,TSLA,0.032385392385392384
2023-06-22,TSLA,0.03318806841173364
2023-05-05,TSLA,0.011805555555555555
2023-05-04,TSLA,0.108013468013468
2023-05-03,TSLA,0.14398358585858587
2023-05-02,TSLA,0.10035511363636364
2023-05-01,TSLA,0.24118326118326117
2023-03-15,TSLA,0.20988057040998218
2023-03-14,TSLA,0.0987584175084175
2023-03-13,TSLA,0.17807920474587144
2023-03-12,TSLA,0.0
2023-03-11,TSLA,-0.01906565656565656
2023-03-10,TSLA,0.13166666666666668
2023-03-09,TSLA,0.4666666666666666
2023-01-23,TSLA,0.08057381575900094
2023-01-22,TSLA,0.04001262626262628
2023-01-21,TSLA,0.07098965848965849
2023-01-20,TSLA,0.13572390572390572
2022-12-03,TSLA,0.0918560606060606
2022-12-02,TSLA,0.04070950208011612
2022-12-01,TSLA,0.0607790404040404
2022-11-30,TSLA,0.0797694112845628
2022-10-13,TSLA,0.11502750721500721
2022-10-12,TSLA,0.03296728271728271
2022-10-11,TSLA,0.09164985929353747
2022-10-10,TSLA,0.10815323366160685
2022-08-23,TSLA,0.11432291666666666
2022-08-22,TSLA,0.10026435574229692
2022-08-21,TSLA,0.1024592731829574
2022-08-20,TSLA,0.13976190476190475
2022-08-19,TSLA,0.15064935064935064
2022-07-03,TSLA,-0.375
2022-07-02,TSLA,0.03766666666666667
2022-07-01,TSLA,0.17883820346320348
2022-06-30,TSLA,0.08432771593485879
2022-06-29,TSLA,0.0763806216931217
